strategy,share_interval,n_images,mean_fe,std_fe,worst_fe,best_fe
PA2,,100,0.04869394090243058,0.002983758943950597,0.03538572313469361,0.05783280933829932
PA5,9,100,0.04865728004046685,0.002908273011070682,0.03532172979008849,0.05783280933829932
PA1,,100,0.04855263761230268,0.002944170613173954,0.0352166184380259,0.05783280933829932
PA4,,100,0.04849625904773358,0.002938199519583832,0.03544258021827819,0.05783280933829932
PA3,,100,0.0483972318083559,0.0029300962037676335,0.035235430040572044,0.05783280933829932
