image_name,strategy,seed,share_interval,fe_best
42049.jpg,PA1,2,,0.05783280933829932
42049.jpg,PA2,2,,0.05783280933829932
42049.jpg,PA4,2,,0.05783280933829932
42049.jpg,PA5,2,1,0.05783280933829932
37073.jpg,PA1,2,,0.05663283678240807
37073.jpg,PA3,2,,0.05663283678240807
37073.jpg,PA5,2,1,0.05663283678240807
37073.jpg,PA4,2,,0.05663236947569516
37073.jpg,PA2,2,,0.056630908204817185
196073.jpg,PA3,2,,0.05527074227289497
196073.jpg,PA4,2,,0.055250592092959405
196073.jpg,PA5,2,1,0.0552444255687463
196073.jpg,PA1,2,,0.055174820053833944
196073.jpg,PA2,2,,0.05513086447100765
42049.jpg,PA3,2,,0.05450860359460348
3096.jpg,PA5,2,1,0.0541768107855212
3096.jpg,PA2,2,,0.05405913665838792
3096.jpg,PA3,2,,0.05405617903541526
3096.jpg,PA4,2,,0.054032577873534875
3096.jpg,PA1,2,,0.0540089053906011
160068.jpg,PA2,2,,0.05391986568948923
302008.jpg,PA3,2,,0.05384987367339453
285079.jpg,PA3,2,,0.05381572556260979
302008.jpg,PA1,2,,0.05380624793019529
302008.jpg,PA5,2,1,0.05376819400193358
302008.jpg,PA4,2,,0.05375411846424548
302008.jpg,PA2,2,,0.053746887953542793
285079.jpg,PA2,2,,0.053596395789011646
296007.jpg,PA3,2,,0.05348475665844559
296007.jpg,PA1,2,,0.05348147635311583
296007.jpg,PA2,2,,0.05346327589983184
296007.jpg,PA5,2,1,0.053459626711360814
296007.jpg,PA4,2,,0.053453570347493484
189080.jpg,PA1,2,,0.052561054638165794
189080.jpg,PA5,2,1,0.052561054638165794
189080.jpg,PA4,2,,0.05255787869635381
189080.jpg,PA3,2,,0.05251529515800267
62096.jpg,PA1,2,,0.0524140415795886
189080.jpg,PA2,2,,0.05234572611111008
62096.jpg,PA5,2,1,0.0523388908312095
300091.jpg,PA4,2,,0.05232245188434965
62096.jpg,PA2,2,,0.05231198833175389
300091.jpg,PA2,2,,0.05221690574522213
62096.jpg,PA4,2,,0.05216043360134047
126007.jpg,PA3,2,,0.05208475108057867
126007.jpg,PA1,2,,0.05208364289458812
126007.jpg,PA4,2,,0.05206559524707838
126007.jpg,PA5,2,1,0.052030495373890574
45096.jpg,PA5,2,1,0.05174506584769984
45096.jpg,PA4,2,,0.05174256925989277
45096.jpg,PA2,2,,0.05173838434540882
45096.jpg,PA1,2,,0.05172204118266817
45096.jpg,PA3,2,,0.051720264487590144
14037.jpg,PA3,2,,0.05162033333869241
42012.jpg,PA3,2,,0.051564268619924386
14037.jpg,PA1,2,,0.051557096336890804
