strategy,share_interval,n_images,mean_fe,std_fe,worst_fe,best_fe
PA2,,100,0.04862976548114529,0.003031644546746413,0.03528799919247995,0.05783280933829932
PA5,1,100,0.04861306748469767,0.002908496446739879,0.03550739254963742,0.05783280933829932
PA1,,100,0.04853422396895495,0.0029355979838632477,0.03528423754064544,0.05783280933829932
PA3,,100,0.048514362206847884,0.0029095989829629725,0.03540637907961261,0.05663283678240807
PA4,,100,0.048462391991049306,0.002961483151111358,0.03512835766632141,0.05783280933829932
