image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA1,10,30,80,0,1.0,1,0.04663031705526985,2.776535749435425,"1,8,9,12,13,48,248,250,251,254",0.04663031705526985,0.04594963240241801,0.00021312134251451359,0.04548450700743728,0.04663031705526985,0.04486203762883466,0.04663031705526985,0.046630317055269856,6.938893903907228e-18,0.0017682794264351903
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA2,10,30,80,0,1.0,1,0.04642325007390139,2.4534647464752197,"3,60,243,245,246,248,249,250,251,254",0.04642325007390139,0.046161533540243375,0.00014591743256488297,0.04579434764261797,0.04642325007390139,0.04569622358873253,0.04642325007390139,0.0464232500739014,6.938893903907228e-18,0.0007270264851688621
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA3,10,30,80,0,1.0,1,0.04618042209640279,2.479884624481201,"6,55,238,239,242,246,249,250,251,254",0.04618042209640279,0.045930303464921086,0.00012546834601156624,0.045717826878626834,0.04618042209640279,0.04486203762883466,0.04618042209640279,0.04613081592904645,5.256818484900047e-05,0.0013183844675681289
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA4,10,30,80,0,1.0,1,0.04640546472435725,2.4572947025299072,"1,2,53,243,245,246,249,250,251,254",0.04640546472435725,0.0461833860701029,0.00011344885451109055,0.04599915076672608,0.04640546472435725,0.04569622358873253,0.04640546472435725,0.04633937064493236,8.221051285491906e-05,0.0007092411356247191
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA5,10,30,80,0,1.0,1,0.04679389412429796,5.181623220443726,"1,2,5,6,9,10,13,50,251,252",0.04679389412429796,0.045813072918572825,0.00047828177466976215,0.044534176581659916,0.04679389412429796,0.04486203762883466,0.04679389412429796,0.04679389412429796,0.0,0.001931856495463305
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA1,10,30,80,0,1.0,1,0.03541933913700316,2.7349138259887695,"1,2,6,9,16,20,78,231,251,252",0.03541933913700316,0.034647508224832105,0.0005320090489738019,0.03376179791613412,0.035426838801963303,0.034278357233415394,0.03541933913700316,0.03536729721812541,2.4163573693449146e-05,0.0011409819035877664
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA2,10,30,80,0,1.0,1,0.035355211240611494,2.937033176422119,"1,7,9,12,14,86,211,248,251,252",0.035355211240611494,0.03442478404642977,0.0005958523661711552,0.033327865755037475,0.035355211240611494,0.034278357233415394,0.035355211240611494,0.035237580621284445,0.00010134917885205039,0.0010768540071961
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA3,10,30,80,0,1.0,1,0.0352867251393394,2.96562123298645,"1,2,3,4,7,8,19,76,235,246",0.0352867251393394,0.035187712991315394,4.710504619883579e-05,0.03511614975123125,0.0352867251393394,0.034278357233415394,0.0352867251393394,0.03526994441236636,1.1354546729832724e-05,0.0010083679059240055
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA4,10,30,80,0,1.0,1,0.03542350437011501,2.8262226581573486,"5,11,191,198,203,228,247,250,251,254",0.03542350437011501,0.0345972778808462,0.0004527746769049353,0.03368826940068544,0.03542350437011501,0.034278357233415394,0.03542350437011501,0.035423504370115,6.938893903907228e-18,0.001145147136699616
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA5,10,30,80,0,1.0,1,0.0353792817619972,5.420124053955078,"3,8,11,36,44,153,247,248,251,252",0.0353792817619972,0.03432179274651736,0.0006358235113327564,0.033205353573930396,0.0353792817619972,0.03450156929945245,0.0353792817619972,0.035353487693998084,5.1622113359638084e-05,0.0008777124625447483
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA1,10,30,80,0,1.0,1,0.04825499750995407,2.7331159114837646,"1,3,6,12,20,55,225,226,243,246",0.04825499750995407,0.048167261587332214,4.298833897465187e-05,0.048065527655066734,0.04825499750995407,0.046072622942424084,0.04825499750995407,0.048242630197841196,8.096306271488522e-06,0.002182374567529989
