image_name,algo,share_interval,seed,fe_best,time_sec
202012.jpg,HYBRID-PA5,5,42,37.990014144560405,2.8045225143432617
368078.jpg,HYBRID-PA5,5,42,37.89655740582267,2.7740607261657715
159091.jpg,HYBRID-PA5,5,42,37.8000363911349,2.692136526107788
117054.jpg,HYBRID-PA5,5,42,37.79056605602337,2.8495497703552246
216041.jpg,HYBRID-PA5,5,42,37.73766056046158,2.8393354415893555
33066.jpg,HYBRID-PA5,5,42,37.72639609261207,2.740830421447754
314016.jpg,HYBRID-PA5,5,42,37.72275382299776,3.034970760345459
97017.jpg,HYBRID-PA5,5,42,37.721946618353876,2.76450514793396
326038.jpg,HYBRID-PA5,5,42,37.71197737124278,2.8155980110168457
25098.jpg,HYBRID-PA5,5,42,37.70474720648887,2.998816728591919
216053.jpg,HYBRID-PA5,5,42,37.686218440542426,2.7671072483062744
61086.jpg,HYBRID-PA5,5,42,37.66763515112526,2.750440835952759
118020.jpg,HYBRID-PA5,5,42,37.66463446302847,2.6991465091705322
78019.jpg,HYBRID-PA5,5,42,37.645425090955975,2.7363758087158203
140055.jpg,HYBRID-PA5,5,42,37.64295665853443,2.6237666606903076
225017.jpg,HYBRID-PA5,5,42,37.63815162768082,2.702463150024414
145053.jpg,HYBRID-PA5,5,42,37.62139939015299,2.8367092609405518
151087.jpg,HYBRID-PA5,5,42,37.61655029389337,2.974649667739868
187039.jpg,HYBRID-PA5,5,42,37.60571210711376,2.660308361053467
8143.jpg,HYBRID-PA5,5,42,37.59617399847815,2.6632843017578125
163062.jpg,HYBRID-PA5,5,42,37.54780401093534,3.0046563148498535
48055.jpg,HYBRID-PA5,5,42,37.534837421983276,3.2994861602783203
365025.jpg,HYBRID-PA5,5,42,37.53482019483171,2.7734150886535645
155060.jpg,HYBRID-PA5,5,42,37.52208430206551,2.7156052589416504
23080.jpg,HYBRID-PA5,5,42,37.49370381228283,2.692410707473755
138032.jpg,HYBRID-PA5,5,42,37.48296007706286,2.698232412338257
376001.jpg,HYBRID-PA5,5,42,37.461418730041295,2.880859136581421
170054.jpg,HYBRID-PA5,5,42,37.44783299342786,2.788290023803711
159029.jpg,HYBRID-PA5,5,42,37.39987352128113,2.771450996398926
239007.jpg,HYBRID-PA5,5,42,37.39083397593374,2.7272655963897705
12003.jpg,HYBRID-PA5,5,42,37.313548594044924,2.7868661880493164
239096.jpg,HYBRID-PA5,5,42,37.30960958415868,2.8393869400024414
370036.jpg,HYBRID-PA5,5,42,37.30218711984351,2.7294371128082275
156079.jpg,HYBRID-PA5,5,42,37.288854660467656,2.792724370956421
153093.jpg,HYBRID-PA5,5,42,37.25379896359539,2.9308784008026123
144067.jpg,HYBRID-PA5,5,42,37.23605362201909,2.8163375854492188
23025.jpg,HYBRID-PA5,5,42,37.23327377809867,2.7251715660095215
196015.jpg,HYBRID-PA5,5,42,37.21766737786267,2.6717588901519775
54005.jpg,HYBRID-PA5,5,42,37.21335596332511,2.887964963912964
187003.jpg,HYBRID-PA5,5,42,37.20914118989885,2.6905126571655273
35091.jpg,HYBRID-PA5,5,42,37.20677896076161,2.955690860748291
361084.jpg,HYBRID-PA5,5,42,37.18992151763522,2.780426502227783
41025.jpg,HYBRID-PA5,5,42,37.174878670516826,2.789677858352661
164074.jpg,HYBRID-PA5,5,42,37.16761847090193,2.853771924972534
124084.jpg,HYBRID-PA5,5,42,37.15794015599919,2.9509730339050293
56028.jpg,HYBRID-PA5,5,42,37.157900732304626,2.847388744354248
189003.jpg,HYBRID-PA5,5,42,37.13930943895136,2.691175699234009
268002.jpg,HYBRID-PA5,5,42,37.13429918728333,3.076470136642456
242078.jpg,HYBRID-PA5,5,42,37.1277886009414,2.9719839096069336
140075.jpg,HYBRID-PA5,5,42,37.11711841245793,2.701209545135498
187071.jpg,HYBRID-PA5,5,42,37.11098378963064,2.795254707336426
145014.jpg,HYBRID-PA5,5,42,37.110521837956846,2.8288846015930176
65132.jpg,HYBRID-PA5,5,42,37.10139216327473,2.8832192420959473
76002.jpg,HYBRID-PA5,5,42,37.09855692134554,2.688170909881592
372047.jpg,HYBRID-PA5,5,42,37.09467373240382,2.741842746734619
216066.jpg,HYBRID-PA5,5,42,37.09303012354452,2.8423686027526855
