image_name,algo,share_interval,seed,fe_best,time_sec
202012.jpg,HYBRID-PA5,10,42,38.03036656894788,4.903442621231079
368078.jpg,HYBRID-PA5,10,42,37.953348201184866,5.0894904136657715
159091.jpg,HYBRID-PA5,10,42,37.85143905700144,5.862755537033081
314016.jpg,HYBRID-PA5,10,42,37.84459571838204,4.876324653625488
56028.jpg,HYBRID-PA5,10,42,37.84231619298706,5.2552809715271
326038.jpg,HYBRID-PA5,10,42,37.81500057823634,4.879927635192871
163062.jpg,HYBRID-PA5,10,42,37.808364036680345,5.249122619628906
159029.jpg,HYBRID-PA5,10,42,37.79268423161719,5.51222562789917
216041.jpg,HYBRID-PA5,10,42,37.7745900835537,5.015153408050537
97017.jpg,HYBRID-PA5,10,42,37.77211219546636,5.056663274765015
140055.jpg,HYBRID-PA5,10,42,37.762138071839075,5.445654392242432
117054.jpg,HYBRID-PA5,10,42,37.75849107946659,5.711764812469482
216053.jpg,HYBRID-PA5,10,42,37.7363470015448,4.961085796356201
225017.jpg,HYBRID-PA5,10,42,37.71982975109409,5.090287685394287
61086.jpg,HYBRID-PA5,10,42,37.70721280454032,5.903450965881348
25098.jpg,HYBRID-PA5,10,42,37.691035022199785,4.859789133071899
23080.jpg,HYBRID-PA5,10,42,37.682945472989765,4.810315847396851
151087.jpg,HYBRID-PA5,10,42,37.67524112941274,5.443402528762817
8143.jpg,HYBRID-PA5,10,42,37.655726974007855,4.950763463973999
145053.jpg,HYBRID-PA5,10,42,37.634692494199,5.096144199371338
187039.jpg,HYBRID-PA5,10,42,37.62269363745957,4.934431076049805
78019.jpg,HYBRID-PA5,10,42,37.61407787648274,4.998745441436768
365025.jpg,HYBRID-PA5,10,42,37.59115826593241,5.1310365200042725
48055.jpg,HYBRID-PA5,10,42,37.5637483438213,5.902984857559204
155060.jpg,HYBRID-PA5,10,42,37.540128204024896,5.026366233825684
138032.jpg,HYBRID-PA5,10,42,37.51666733595662,6.267807245254517
33066.jpg,HYBRID-PA5,10,42,37.47228954883503,4.901999473571777
361084.jpg,HYBRID-PA5,10,42,37.45390952743746,5.184789180755615
376001.jpg,HYBRID-PA5,10,42,37.44387978990226,5.445451021194458
170054.jpg,HYBRID-PA5,10,42,37.43593945402639,4.917730093002319
43070.jpg,HYBRID-PA5,10,42,37.42625349374828,5.246398687362671
370036.jpg,HYBRID-PA5,10,42,37.42037257604046,5.9670984745025635
156079.jpg,HYBRID-PA5,10,42,37.411424459071384,5.429794788360596
239007.jpg,HYBRID-PA5,10,42,37.38305706069298,4.818748950958252
365073.jpg,HYBRID-PA5,10,42,37.38213967041466,5.396270513534546
187003.jpg,HYBRID-PA5,10,42,37.38153562518236,4.9130096435546875
66075.jpg,HYBRID-PA5,10,42,37.374223274081444,5.285319566726685
12003.jpg,HYBRID-PA5,10,42,37.34813394774994,5.126791000366211
239096.jpg,HYBRID-PA5,10,42,37.31519287181875,4.892579555511475
118020.jpg,HYBRID-PA5,10,42,37.311223963102705,5.431408643722534
153093.jpg,HYBRID-PA5,10,42,37.28726546609792,5.110112428665161
144067.jpg,HYBRID-PA5,10,42,37.26110272270347,5.191082954406738
198054.jpg,HYBRID-PA5,10,42,37.261100530287,5.022075653076172
23025.jpg,HYBRID-PA5,10,42,37.25737869603087,4.806482553482056
196015.jpg,HYBRID-PA5,10,42,37.251955605197445,4.924636363983154
242078.jpg,HYBRID-PA5,10,42,37.248183733883536,4.930341482162476
124084.jpg,HYBRID-PA5,10,42,37.230872206358086,6.084307432174683
35091.jpg,HYBRID-PA5,10,42,37.23044168392757,5.031893253326416
41025.jpg,HYBRID-PA5,10,42,37.212341350879335,6.00662899017334
187071.jpg,HYBRID-PA5,10,42,37.20392418860216,5.358750581741333
140075.jpg,HYBRID-PA5,10,42,37.18451748017314,5.194556713104248
65074.jpg,HYBRID-PA5,10,42,37.176664411724815,5.38879919052124
66039.jpg,HYBRID-PA5,10,42,37.17361124683271,5.152662992477417
216066.jpg,HYBRID-PA5,10,42,37.16232358859186,4.9504499435424805
15004.jpg,HYBRID-PA5,10,42,37.150362773249256,5.234632253646851
164074.jpg,HYBRID-PA5,10,42,37.145067162631804,5.070958852767944
372047.jpg,HYBRID-PA5,10,42,37.1437268692472,5.843163967132568
65132.jpg,HYBRID-PA5,10,42,37.14130561466332,4.989768743515015
65010.jpg,HYBRID-PA5,10,42,37.138229275667655,5.308929443359375
169012.jpg,HYBRID-PA5,10,42,37.12893811069624,5.006280899047852
161062.jpg,HYBRID-PA5,10,42,37.12839572368269,5.200689077377319
76002.jpg,HYBRID-PA5,10,42,37.12125561043108,5.171407461166382
163014.jpg,HYBRID-PA5,10,42,37.11960362339256,5.209670066833496
23084.jpg,HYBRID-PA5,10,42,37.11525445183698,4.94187331199646
188005.jpg,HYBRID-PA5,10,42,37.11292963381058,5.058316469192505
145014.jpg,HYBRID-PA5,10,42,37.10741025682005,5.039637804031372
28075.jpg,HYBRID-PA5,10,42,37.10194316006882,4.936998128890991
24004.jpg,HYBRID-PA5,10,42,37.09910987410802,4.892013072967529
309004.jpg,HYBRID-PA5,10,42,37.069040117890374,5.203572511672974
188063.jpg,HYBRID-PA5,10,42,37.04493587029937,4.9236884117126465
189011.jpg,HYBRID-PA5,10,42,37.02370478606929,4.839728832244873
27059.jpg,HYBRID-PA5,10,42,37.01655144344777,4.937337636947632
41004.jpg,HYBRID-PA5,10,42,37.00162604565564,5.981337070465088
176019.jpg,HYBRID-PA5,10,42,37.00050643729567,4.927493572235107
54005.jpg,HYBRID-PA5,10,42,36.99784642981998,5.979984998703003
159045.jpg,HYBRID-PA5,10,42,36.99247520720478,5.615421772003174
268002.jpg,HYBRID-PA5,10,42,36.926627961747634,4.897305727005005
176035.jpg,HYBRID-PA5,10,42,36.92433469264377,4.9997878074646
46076.jpg,HYBRID-PA5,10,42,36.9066977086615,5.095195531845093
43083.jpg,HYBRID-PA5,10,42,36.905544543914374,4.907006740570068
35008.jpg,HYBRID-PA5,10,42,36.90372090369403,4.938164949417114
22013.jpg,HYBRID-PA5,10,42,36.902842242845225,5.024965763092041
24063.jpg,HYBRID-PA5,10,42,36.902756536766056,4.950496435165405
61060.jpg,HYBRID-PA5,10,42,36.88576148545081,5.684121131896973
87065.jpg,HYBRID-PA5,10,42,36.84280932049417,4.949445962905884
376020.jpg,HYBRID-PA5,10,42,36.842098293130164,5.142072916030884
45077.jpg,HYBRID-PA5,10,42,36.83044668007309,5.007005453109741
198004.jpg,HYBRID-PA5,10,42,36.82711283732336,4.93840217590332
22090.jpg,HYBRID-PA5,10,42,36.82204210397228,5.105700731277466
249087.jpg,HYBRID-PA5,10,42,36.80891207070868,4.891637802124023
176039.jpg,HYBRID-PA5,10,42,36.784863102840724,4.942354440689087
65019.jpg,HYBRID-PA5,10,42,36.75360141554481,5.539457559585571
277095.jpg,HYBRID-PA5,10,42,36.74651912672661,4.84711217880249
108073.jpg,HYBRID-PA5,10,42,36.745738922632604,5.134615421295166
153077.jpg,HYBRID-PA5,10,42,36.74538963773101,6.223387956619263
231015.jpg,HYBRID-PA5,10,42,36.74299936781639,4.9289515018463135
35010.jpg,HYBRID-PA5,10,42,36.74280678919061,5.251646518707275
353013.jpg,HYBRID-PA5,10,42,36.718795351588255,5.443419456481934
92059.jpg,HYBRID-PA5,10,42,36.71599893223218,5.30328106880188
388016.jpg,HYBRID-PA5,10,42,36.713223012094126,5.031322717666626
147062.jpg,HYBRID-PA5,10,42,36.70612174058256,5.3926100730896
68077.jpg,HYBRID-PA5,10,42,36.7034226286971,5.027782678604126
16052.jpg,HYBRID-PA5,10,42,36.69676434351746,5.5000104904174805
22093.jpg,HYBRID-PA5,10,42,36.692889776741865,5.115167856216431
42078.jpg,HYBRID-PA5,10,42,36.67442530036969,5.611456871032715
90076.jpg,HYBRID-PA5,10,42,36.66636916244757,5.055140495300293
311081.jpg,HYBRID-PA5,10,42,36.65996979312363,4.847012758255005
55075.jpg,HYBRID-PA5,10,42,36.65800110509557,5.176008462905884
198023.jpg,HYBRID-PA5,10,42,36.651987492170534,4.968477487564087
42044.jpg,HYBRID-PA5,10,42,36.64724934116344,6.728419542312622
374067.jpg,HYBRID-PA5,10,42,36.64610728546386,5.177342653274536
12074.jpg,HYBRID-PA5,10,42,36.64573679188379,5.432058572769165
106020.jpg,HYBRID-PA5,10,42,36.603939806975795,5.315922975540161
134052.jpg,HYBRID-PA5,10,42,36.59591637445175,5.110540151596069
385028.jpg,HYBRID-PA5,10,42,36.58337614336871,5.380466461181641
