image_name,strategy,seed,thresholds,best_f,fe,dsc,iou,psnr,ssim,time_sec,convergence_iters
100007.jpg,PA5,42,"40,59,81,105,132,152,169,189,208,233",-36.06228970016315,36.06228970016315,0.23424040552805986,0.13265701982387398,33.351080463406376,0.8810663115652432,0.46289968490600586,19
100007.jpg,PA6,42,"37,57,98,113,130,155,174,192,212,231",-35.63416269656966,35.63416269656966,0.20940653105960477,0.11694811507579303,32.384156320242255,0.8695136789066652,0.2190556526184082,20
100039.jpg,PA5,42,"32,58,79,99,121,147,170,193,213,232",-35.678847740632456,35.678847740632456,0.13789159429280398,0.07405132476185519,31.737599341826964,0.9186200969207771,0.5066392421722412,20
100039.jpg,PA6,42,"32,52,74,96,118,147,173,189,204,222",-35.30980181546702,35.30980181546702,0.13775771671857137,0.07397411064892727,31.065580741122993,0.9129967156000003,0.22192978858947754,19
100099.jpg,PA5,42,"26,48,65,80,97,113,129,145,169,188",-33.14151417608065,33.14151417608065,0.13151859232244237,0.07038795878943979,34.361793234851824,0.8868613555489883,0.43121886253356934,20
100099.jpg,PA6,42,"22,42,66,81,101,125,145,166,180,194",-32.35917529321587,32.35917529321587,0.12488609063043658,0.06660186882855818,32.698882922406895,0.8527515382233665,0.20604968070983887,19
