image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA1,10,30,100,42,1.0,1,0.046487177340757926,4.807549715042114,"7,8,11,16,27,28,43,250,251,254",0.046487177340757926,0.04566362786946807,0.00027768688046775727,0.044960831670422974,0.046487177340757926,0.04469626264312878,0.046487177340757926,0.046487177340757926,0.0,0.0017909146976291465
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA2,10,30,100,42,1.0,1,0.04631130714783076,4.896676063537598,"1,2,3,54,246,248,249,250,251,254",0.04631130714783076,0.04610581944740212,0.00012082239829908562,0.04585156243313034,0.04632205762670181,0.04469626264312878,0.04631130714783076,0.04631130714783076,0.0,0.0016150445047019776
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA3,10,30,100,42,1.0,1,0.04643714450326844,4.580733776092529,"1,2,60,243,244,247,248,250,251,254",0.04643714450326844,0.046192880730607705,0.00011187767048034107,0.045942445170816595,0.04643714450326844,0.04469626264312878,0.04643714450326844,0.04637208275027681,7.270658872636453e-05,0.0017408818601396606
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA4,10,30,100,42,1.0,1,0.04640543405913038,4.523606300354004,"61,243,244,245,246,247,248,250,251,254",0.04640543405913038,0.04620210036855866,0.00013123126988150773,0.04584653259973023,0.04640543405913038,0.04469626264312878,0.04640543405913038,0.04635569062224605,0.00010446447779344425,0.0017091714160015967
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA5,10,30,100,42,1.0,1,0.04651748775920017,9.661349534988403,"1,2,3,6,7,50,247,250,251,254",0.04651748775920017,0.045990185679766905,0.00024106425149449077,0.04548895959615148,0.04651748775920017,0.04579767953363589,0.04651748775920017,0.04651748775920017,0.0,0.0007198082255642779
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA1,10,30,100,42,1.0,1,0.0352166184380259,5.1921374797821045,"1,2,4,9,14,19,30,71,234,246",0.0352166184380259,0.03513979252658408,3.942398016147483e-05,0.03508071715519408,0.0352166184380259,0.03467281068111283,0.0352166184380259,0.035216618438025905,6.938893903907228e-18,0.0005438077569130673
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA2,10,30,100,42,1.0,1,0.03538572313469361,4.876532793045044,"1,11,100,187,200,235,243,250,251,254",0.03538572313469361,0.03457545181389567,0.0004348071193187773,0.033729925806674735,0.03538572313469361,0.03473994714866381,0.03538572313469361,0.03538572313469361,0.0,0.0006457759860298007
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA3,10,30,100,42,1.0,1,0.035235430040572044,4.680953502655029,"7,20,112,155,160,188,209,240,251,252",0.035235430040572044,0.034355063789069065,0.0005322597469504219,0.03340608863617295,0.035235430040572044,0.03467281068111283,0.035235430040572044,0.035203458877022586,1.662107216039408e-05,0.0005626193594592127
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA4,10,30,100,42,1.0,1,0.03544258021827819,4.523322820663452,"17,25,175,231,234,237,239,250,251,254",0.03544258021827819,0.03467685914863855,0.00043823781481494,0.03378215073926111,0.03544258021827819,0.03473994714866381,0.03544258021827819,0.03538566448661671,5.692202848707415e-05,0.0007026330696143779
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA5,10,30,100,42,1.0,1,0.03549497676611997,9.368421792984009,"1,4,6,9,11,12,83,228,251,252",0.03549497676611997,0.0346615510070927,0.0005341975225077073,0.033743319757959425,0.03549497676611997,0.03467281068111283,0.03549497676611997,0.03546848673649248,4.046418864320161e-05,0.0008221660850071394
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA1,10,30,100,42,1.0,1,0.04826421593329476,4.325657367706299,"2,4,6,9,16,18,59,226,227,242",0.04826421593329476,0.048197757747019385,3.0259052848515484e-05,0.04811385438254641,0.04826421593329476,0.04603543215706709,0.04826421593329476,0.04826310845551969,3.3224333252070142e-06,0.0022287837762276705
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA2,10,30,100,42,1.0,1,0.04833146901507795,4.622180223464966,"1,3,4,5,6,7,8,68,223,224",0.04833146901507795,0.048276638810609306,6.805395354413042e-05,0.04813488370188786,0.04835979251467454,0.045905768509233585,0.04833146901507795,0.04833146901507795,0.0,0.0024257005058443623
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA3,10,30,100,42,1.0,1,0.0482217328371224,5.465481996536255,"1,2,6,7,8,23,24,51,227,228",0.0482217328371224,0.048157679270113316,3.655797323204016e-05,0.04806694946603274,0.0482217328371224,0.04603543215706709,0.0482217328371224,0.048211812847147276,6.68443893347714e-06,0.002186300680055313
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA4,10,30,100,42,1.0,1,0.048116182180004415,4.398179292678833,"1,2,3,4,5,6,7,8,69,208",0.048116182180004415,0.04805786736890684,2.762304874071456e-05,0.04798604249250146,0.048116182180004415,0.045905768509233585,0.048116182180004415,0.048116182180004415,0.0,0.002210413670770829
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA5,10,30,100,42,1.0,1,0.048450802656363784,9.13253140449524,"1,2,3,5,8,66,219,226,243,246",0.048450802656363784,0.04833768502526461,4.7593025558154216e-05,0.048249505097105294,0.048450802656363784,0.04707212603581684,0.048450802656363784,0.04844156477378151,4.7070791702129465e-06,0.0013786766205469425
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA1,10,30,100,42,1.0,1,0.047270338888647456,4.3738110065460205,"1,2,5,7,15,16,41,196,197,204",0.047270338888647456,0.047208475128186406,3.189460393160318e-05,0.04712500952720845,0.047270338888647456,0.045937774083097946,0.047270338888647456,0.04726568071807334,9.31634114823554e-06,0.0013325648055495104
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA2,10,30,100,42,1.0,1,0.04727275024336996,4.278954267501831,"2,3,4,8,10,11,12,45,192,193",0.04727275024336996,0.04722254173073452,2.6944870616538086e-05,0.04716487737931942,0.04727275024336996,0.04707125727022042,0.04727275024336996,0.04725918760104557,7.675995085254344e-06,0.00020149297314953768
