strategy,n_images,mean_fe,sd_fe,mean_dsc,sd_dsc,mean_iou,sd_iou,mean_psnr,sd_psnr,mean_ssim,sd_ssim,mean_time_sec,sd_time_sec,mean_convergence_iters,sd_convergence_iters
PA5,3,33.99330454236547,1.9122175861295923,0.15757574944051664,0.039800672994345865,0.08604024252711528,0.023791043644622742,31.557927881320268,0.35122920146100645,0.867782077165043,0.033968908403995704,0.4472827911376953,0.004870065815771154,20.0,0.0
PA6,3,34.43437993508418,1.473354047634459,0.1573501128028709,0.03718263663618813,0.08584136485109282,0.02220074952970304,32.04953999459071,0.707528594423854,0.8784206442433439,0.02538859157071821,0.22568066914876303,0.009214800546733081,19.333333333333332,0.4714045207910317
