image_name,strategy,seed,share_interval,fe_best
42049.jpg,PA1,42,,0.05783280933829932
42049.jpg,PA2,42,,0.05783280933829932
42049.jpg,PA3,42,,0.05783280933829932
42049.jpg,PA4,42,,0.05783280933829932
42049.jpg,PA5,42,7,0.05783280933829932
37073.jpg,PA2,42,,0.057088704434024924
37073.jpg,PA5,42,7,0.05663283678240807
37073.jpg,PA1,42,,0.056630908204817185
37073.jpg,PA4,42,,0.056567328674814656
37073.jpg,PA3,42,,0.055622925328036164
196073.jpg,PA3,42,,0.055264094158855935
196073.jpg,PA5,42,7,0.055264094158855935
196073.jpg,PA1,42,,0.05525824206145712
196073.jpg,PA2,42,,0.05518102201144955
196073.jpg,PA4,42,,0.055174820053833944
3096.jpg,PA5,42,7,0.05410144225319753
3096.jpg,PA2,42,,0.05405191426382399
3096.jpg,PA3,42,,0.054032577873534875
3096.jpg,PA4,42,,0.05399584570729888
302008.jpg,PA1,42,,0.053894745607797084
302008.jpg,PA4,42,,0.05388154423677295
302008.jpg,PA3,42,,0.053870281878304484
302008.jpg,PA2,42,,0.053773227149855725
302008.jpg,PA5,42,7,0.053721299931897136
296007.jpg,PA4,42,,0.05349189007234787
296007.jpg,PA3,42,,0.053489265923533216
296007.jpg,PA5,42,7,0.05348540284768472
3096.jpg,PA1,42,,0.053467804729642285
296007.jpg,PA1,42,,0.05345773898884395
296007.jpg,PA2,42,,0.05340639993141332
62096.jpg,PA5,42,7,0.052676066676124414
62096.jpg,PA2,42,,0.052606045012994575
62096.jpg,PA4,42,,0.05258590404751563
189080.jpg,PA2,42,,0.052579345862450076
189080.jpg,PA5,42,7,0.05256323248707244
189080.jpg,PA3,42,,0.05255603881792464
189080.jpg,PA1,42,,0.05254642613035712
189080.jpg,PA4,42,,0.05253586049444835
43074.jpg,PA2,42,,0.05252882411699835
62096.jpg,PA1,42,,0.05251517414040256
62096.jpg,PA3,42,,0.052481380766979654
126007.jpg,PA5,42,7,0.052063841640949085
126007.jpg,PA1,42,,0.05206288603822227
126007.jpg,PA2,42,,0.052060332212580794
126007.jpg,PA4,42,,0.052019692210237736
126007.jpg,PA3,42,,0.05198963869961964
385039.jpg,PA5,42,7,0.05198230571072682
385039.jpg,PA2,42,,0.0518831712452591
45096.jpg,PA3,42,,0.05176322576928609
45096.jpg,PA4,42,,0.05174673318762727
45096.jpg,PA5,42,7,0.051735501741213316
45096.jpg,PA2,42,,0.0517196886221906
45096.jpg,PA1,42,,0.05171169072689497
42012.jpg,PA2,42,,0.05156468711523399
58060.jpg,PA5,42,7,0.051406382471888806
14037.jpg,PA5,42,7,0.05138735248675608
108082.jpg,PA5,42,7,0.051338101478047654
58060.jpg,PA2,42,,0.05132848939534903
197017.jpg,PA1,42,,0.05127337419729551
197017.jpg,PA2,42,,0.05127337419729551
197017.jpg,PA3,42,,0.05127337419729551
197017.jpg,PA4,42,,0.05127337419729551
197017.jpg,PA5,42,7,0.05127337419729551
58060.jpg,PA1,42,,0.051263029396008464
14037.jpg,PA2,42,,0.051262009839452144
58060.jpg,PA4,42,,0.05123681841202822
227092.jpg,PA2,42,,0.05121733690968812
227092.jpg,PA5,42,7,0.05120730315428978
