image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
6,108005.jpg,dataset/BDS500/images/val\108005.jpg,PA5,10,30,100,42,1.0,6,0.048186647866620164,5.278947353363037,"1,2,3,4,5,6,7,8,38,254",0.048186647866620164,0.04811682645510965,4.2680718676742484e-05,0.04800933887955808,0.048186647866620164,0.04793012575607072,0.048186647866620164,0.04818664786662017,6.938893903907228e-18,0.0002565221105494467
7,108070.jpg,dataset/BDS500/images/val\108070.jpg,PA1,10,30,100,42,1.0,6,0.04889698164015982,2.6184041500091553,"1,2,3,4,5,33,247,248,251,252",0.04889698164015982,0.04861381994860717,0.00010668649555753018,0.04839292917686623,0.04889698164015982,0.04639061720145384,0.04889698164015982,0.04888096193592135,8.00985211923677e-06,0.0025063644387059783
7,108070.jpg,dataset/BDS500/images/val\108070.jpg,PA2,10,30,100,42,1.0,6,0.04880587246246956,2.6147336959838867,"1,37,243,244,245,248,249,250,253,254",0.04880587246246956,0.048640274251690006,8.478678065368275e-05,0.04848534273881638,0.04880587246246956,0.04781284858689607,0.04880587246246956,0.04880587246246957,6.938893903907228e-18,0.0009930238755734913
7,108070.jpg,dataset/BDS500/images/val\108070.jpg,PA3,10,30,100,42,1.0,6,0.04852655310322276,2.8167154788970947,"11,24,243,244,245,247,248,250,251,254",0.04852655310322276,0.04837444639453551,9.412655658618553e-05,0.04817621567245424,0.04852655310322276,0.04639061720145384,0.04852655310322276,0.04851639431864728,6.650485612261367e-06,0.002135935901768915
7,108070.jpg,dataset/BDS500/images/val\108070.jpg,PA4,10,30,100,42,1.0,6,0.048721702546816556,2.885803461074829,"6,7,29,242,245,246,247,250,251,254",0.048721702546816556,0.048519566031247,8.564388994348995e-05,0.04833887911625674,0.048721702546816556,0.04781284858689607,0.048721702546816556,0.04866673874438711,3.46684986107312e-05,0.0009088539599204845
7,108070.jpg,dataset/BDS500/images/val\108070.jpg,PA5,10,30,100,42,1.0,6,0.048891849672378945,5.766662836074829,"1,2,3,4,5,6,31,250,251,254",0.048891849672378945,0.04871257761322029,7.273083099127283e-05,0.048596121873189145,0.048891849672378945,0.04666354425791176,0.048891849672378945,0.04889184967237894,6.938893903907228e-18,0.0022283054144671827
8,108082.jpg,dataset/BDS500/images/val\108082.jpg,PA1,10,30,100,42,1.0,6,0.05113005064589706,2.950551748275757,"1,2,4,11,235,238,239,250,251,254",0.05113005064589706,0.05091275687181319,0.0001090435594404572,0.0507146053172372,0.05113005064589706,0.049756707260423444,0.05113005064589706,0.05113005064589706,0.0,0.0013733433854736174
8,108082.jpg,dataset/BDS500/images/val\108082.jpg,PA2,10,30,100,42,1.0,6,0.050888223720076606,2.6604771614074707,"1,2,3,4,5,6,7,8,9,240",0.050888223720076606,0.05068381805336278,0.00011052540764553591,0.05048393627563465,0.050888223720076606,0.05079376046710817,0.050888223720076606,0.050888223720076606,0.0,9.446325296843389e-05
8,108082.jpg,dataset/BDS500/images/val\108082.jpg,PA3,10,30,100,42,1.0,6,0.05118388359089616,2.6276233196258545,"1,2,3,4,5,6,7,250,251,254",0.05118388359089616,0.05089960211441661,0.00012127894291487499,0.05070333458421162,0.05118388359089616,0.049756707260423444,0.05118388359089616,0.051183883590896165,6.938893903907228e-18,0.001427176330472714
8,108082.jpg,dataset/BDS500/images/val\108082.jpg,PA4,10,30,100,42,1.0,6,0.050888223720076606,2.6575024127960205,"1,2,3,4,5,6,7,8,9,240",0.050888223720076606,0.05068381805336278,0.00011052540764553591,0.05048393627563465,0.050888223720076606,0.05079376046710817,0.050888223720076606,0.050888223720076606,0.0,9.446325296843389e-05
