strategy,share_interval,n_images,mean_fe,std_fe,worst_fe,best_fe
PA5,1,100,0.04872953672018441,0.0029461020711922603,0.03528448787132604,0.05783280933829932
PA2,,100,0.04865727324560031,0.0029055919527624144,0.035565919863486534,0.05783280933829932
PA3,,100,0.048537488190957406,0.0029367197536061635,0.03509181449073702,0.0565910080171606
PA1,,100,0.04851828528420744,0.0029337823374887295,0.035309555608959556,0.05783280933829932
PA4,,100,0.048449457034283314,0.0028753809779602955,0.035251584589739954,0.05663283678240807
