image_name,strategy,seed,share_interval,fe_best
42049.jpg,PA1,3,,0.05783280933829932
42049.jpg,PA2,3,,0.05783280933829932
42049.jpg,PA5,3,1,0.05783280933829932
37073.jpg,PA2,3,,0.05663283678240807
37073.jpg,PA4,3,,0.05663283678240807
37073.jpg,PA5,3,1,0.05663283678240807
37073.jpg,PA3,3,,0.0565910080171606
37073.jpg,PA1,3,,0.0556558508610067
42049.jpg,PA4,3,,0.05547721421646571
42049.jpg,PA3,3,,0.05538682636396575
196073.jpg,PA1,3,,0.05527074227289497
196073.jpg,PA4,3,,0.05527074227289497
196073.jpg,PA3,3,,0.05525824206145712
196073.jpg,PA2,3,,0.055250592092959405
196073.jpg,PA5,3,1,0.05523650718201984
3096.jpg,PA2,3,,0.05414082688018149
3096.jpg,PA3,3,,0.05414082688018149
3096.jpg,PA4,3,,0.054060329700552086
3096.jpg,PA5,3,1,0.054060329700552086
3096.jpg,PA1,3,,0.05402486577699439
302008.jpg,PA4,3,,0.05383728312602133
302008.jpg,PA5,3,1,0.05379785553873877
302008.jpg,PA3,3,,0.05376822660138888
302008.jpg,PA1,3,,0.053712579547103845
302008.jpg,PA2,3,,0.05370011814412737
296007.jpg,PA4,3,,0.05348377644979186
41033.jpg,PA3,3,,0.053479130315384205
296007.jpg,PA5,3,1,0.053464769273501765
296007.jpg,PA1,3,,0.05345847505840082
296007.jpg,PA2,3,,0.053458213097576986
296007.jpg,PA3,3,,0.05344631131952007
134035.jpg,PA3,3,,0.05301263543840315
62096.jpg,PA2,3,,0.052744495642817454
62096.jpg,PA3,3,,0.05261301765441415
189080.jpg,PA4,3,,0.052561054638165794
189080.jpg,PA5,3,1,0.05255866221071818
62096.jpg,PA1,3,,0.052557682777656795
62096.jpg,PA5,3,1,0.05253613468653809
189080.jpg,PA2,3,,0.052522264644045746
189080.jpg,PA1,3,,0.05245453384771731
62096.jpg,PA4,3,,0.05230925191591438
126007.jpg,PA3,3,,0.05208243170258281
126007.jpg,PA5,3,1,0.05207346878366782
126007.jpg,PA1,3,,0.052051950802353315
126007.jpg,PA4,3,,0.05199844242797255
126007.jpg,PA2,3,,0.051830483216933274
45096.jpg,PA4,3,,0.05178105258969709
45096.jpg,PA5,3,1,0.05174297362641841
45096.jpg,PA1,3,,0.05172821664118056
45096.jpg,PA2,3,,0.0517047724295528
45096.jpg,PA3,3,,0.05170211731337262
16077.jpg,PA5,3,1,0.05168541867297318
296059.jpg,PA5,3,1,0.051626912617280876
42012.jpg,PA5,3,1,0.051565451641876064
42012.jpg,PA2,3,,0.05156483958170081
42012.jpg,PA4,3,,0.05156480282237755
42012.jpg,PA3,3,,0.05156339510905239
42012.jpg,PA1,3,,0.05156254410405303
14037.jpg,PA2,3,,0.05153954172306818
58060.jpg,PA5,3,1,0.051474911605265274
108082.jpg,PA5,3,1,0.051324305554571396
197017.jpg,PA1,3,,0.05127337419729551
197017.jpg,PA2,3,,0.05127337419729551
108082.jpg,PA2,3,,0.051257637326721874
227092.jpg,PA5,3,1,0.05123755345444287
189080.jpg,PA3,3,,0.05119277419977463
108082.jpg,PA4,3,,0.05119240876977105
227092.jpg,PA2,3,,0.05118739737300029
108082.jpg,PA3,3,,0.05118370806757669
227092.jpg,PA1,3,,0.05117752962217814
58060.jpg,PA4,3,,0.051152336868741474
227092.jpg,PA4,3,,0.051147657638839286
14037.jpg,PA5,3,1,0.051135708383529564
14037.jpg,PA3,3,,0.05110817102812981
58060.jpg,PA2,3,,0.05110350822691591
58060.jpg,PA1,3,,0.05108663047337545
227092.jpg,PA3,3,,0.051014732255803025
119082.jpg,PA2,3,,0.05101444637971743
66053.jpg,PA1,3,,0.05096546490425309
66053.jpg,PA3,3,,0.05096546490425309
66053.jpg,PA5,3,1,0.05096546490425309
58060.jpg,PA3,3,,0.050946405677956
300091.jpg,PA3,3,,0.05093677811464339
300091.jpg,PA4,3,,0.05091930789482707
300091.jpg,PA5,3,1,0.05090766655096078
182053.jpg,PA2,3,,0.05082958713564481
182053.jpg,PA1,3,,0.05082177460395104
182053.jpg,PA5,3,1,0.050817120784491146
69040.jpg,PA5,3,1,0.050794227610716614
300091.jpg,PA2,3,,0.050723867497478835
182053.jpg,PA3,3,,0.05071150416445877
182053.jpg,PA4,3,,0.05069873519484054
14037.jpg,PA1,3,,0.05065324047726823
14037.jpg,PA4,3,,0.05063981472257998
108082.jpg,PA1,3,,0.05062305120109576
148026.jpg,PA4,3,,0.050604158964060425
55073.jpg,PA4,3,,0.05056672474310368
300091.jpg,PA1,3,,0.050566123644257895
157055.jpg,PA1,3,,0.050551170612706045
157055.jpg,PA2,3,,0.050551170612706045
157055.jpg,PA4,3,,0.050551170612706045
157055.jpg,PA5,3,1,0.050551170612706045
361010.jpg,PA2,3,,0.050549195747477134
361010.jpg,PA1,3,,0.05053989679458739
55073.jpg,PA3,3,,0.050536932340570495
361010.jpg,PA3,3,,0.05050383743035947
55073.jpg,PA5,3,1,0.050396686951719435
55073.jpg,PA1,3,,0.05038071507912433
55073.jpg,PA2,3,,0.050380338508758414
285079.jpg,PA1,3,,0.050343423597970456
361010.jpg,PA4,3,,0.05030524398094371
285079.jpg,PA2,3,,0.050287993120234256
285079.jpg,PA5,3,1,0.050264240005872235
361010.jpg,PA5,3,1,0.050232299487646515
285079.jpg,PA3,3,,0.05022607862181351
285079.jpg,PA4,3,,0.050213421416278325
147091.jpg,PA4,3,,0.0501173437852251
89072.jpg,PA2,3,,0.049995753394257506
260058.jpg,PA1,3,,0.04988760176576901
260058.jpg,PA2,3,,0.04988760176576901
260058.jpg,PA3,3,,0.04988760176576901
260058.jpg,PA5,3,1,0.04988760176576901
102061.jpg,PA4,3,,0.04980309275817254
147091.jpg,PA5,3,1,0.04975412256770781
147091.jpg,PA3,3,,0.04975062164759202
102061.jpg,PA5,3,1,0.04973838797171365
306005.jpg,PA4,3,,0.049713136130039345
102061.jpg,PA2,3,,0.049703774171828634
223061.jpg,PA2,3,,0.04969691944669971
223061.jpg,PA1,3,,0.04968496462776669
147091.jpg,PA2,3,,0.04965860499692413
306005.jpg,PA3,3,,0.049649766877618726
148026.jpg,PA2,3,,0.049610455921741854
306005.jpg,PA1,3,,0.04960945990432905
86068.jpg,PA3,3,,0.04957419732540115
86068.jpg,PA5,3,1,0.04956248207947106
148026.jpg,PA3,3,,0.04955175273491168
