image_name,strategy,seed,thresholds,best_f,fe,dsc,iou,psnr,ssim,time_sec,convergence_iters
100007.jpg,PA5,42,"37,59,79,97,115,134,161,187,212,235",-36.18013677003062,36.18013677003062,0.24352341146360773,0.13864312969097237,32.433051233188365,0.865932291462615,1.461634635925293,40
100007.jpg,PA6,42,"28,60,91,119,133,150,168,189,210,237",-35.792528985242484,35.792528985242484,0.23092667090126331,0.1305353865794303,32.73844760166042,0.8718007214112444,0.7077133655548096,40
100039.jpg,PA5,42,"39,66,88,110,132,153,174,195,215,235",-35.924480343605325,35.924480343605325,0.13622390891840608,0.07309027601022185,32.24602971306207,0.9262363590820694,1.4509515762329102,36
100039.jpg,PA6,42,"31,57,81,104,129,153,171,191,209,232",-35.60675925176231,35.60675925176231,0.1360965107934599,0.07301693010478559,31.747842580608534,0.9176961146000422,0.6704268455505371,40
100099.jpg,PA5,42,"42,58,73,88,106,124,139,154,171,189",-33.446849753906825,33.446849753906825,0.124123043712898,0.0661680092059839,35.002818869633444,0.8898403200854795,1.3453905582427979,39
100099.jpg,PA6,42,"34,55,66,80,99,117,132,161,176,193",-32.849118273743954,32.849118273743954,0.13213528520949017,0.0707413573173632,31.957990646574107,0.8539504739370566,0.6601097583770752,25
10081.jpg,PA5,42,"42,64,82,103,122,142,165,187,208,228",-37.01161030500383,37.01161030500383,0.1939539425502482,0.10739147085989773,32.54673623041649,0.8701997131508439,1.4685027599334717,40
10081.jpg,PA6,42,"24,47,68,90,116,143,164,185,205,225",-37.19450124646768,37.19450124646768,0.1926283016972984,0.10657923983107358,32.0855355751684,0.86160285188709,0.6837072372436523,25
101027.jpg,PA5,42,"24,41,58,78,100,126,154,180,206,229",-37.18297727519022,37.18297727519022,0.11531896618176612,0.061187524102228504,32.35722210485933,0.9076508466586104,1.3453643321990967,40
101027.jpg,PA6,42,"19,43,62,84,103,126,148,171,196,222",-37.15846611152462,37.15846611152462,0.11244970842186158,0.059574417128692714,31.97006871356819,0.8990314552562956,0.6668968200683594,38
